Country,L1Name,L2Name,number_of_urban_patches,patch_density,area_weigthed_mean_shape_index,area_weigthed_mean_nearest_neighbor,effective_mesh_size,area_weighted_mean_patch_size,Circuity_average,intersection_density,street_density,street_length_average,streets_per_node_average,urb_perfil,stt_perfil,area,population_density,CentLatitude,CentLongitude
Argentina,Mendoza,Las Heras,414,0.0472,3.6683,110.1676,5.335,1428.2414,1.09626243374443,0.40327184489254,140.557859137686,202.356272648433,2.95825381679389,1,6,8790.59633073227,6346.509795,-32.5236383839087,-69.27608359807
Brasil,Porto Alegre,ESTEIO,30,1.0838,2.4788,61.0759,750.7202,1369.914,1.0272044600843,50.8093858098431,9404.68119504655,110.432270583805,2.97467572575664,2,1,27.770459680043,5485.348891,-29.8517472740068,-51.1767972444296
Brasil,Jaragua do Sul,JARAGU6 DO SUL,472,0.8917,6.0081,70.3504,161.4554,2094.8808,1.09932779454966,6.5301656674815,2090.58765208137,170.953081287793,2.39838146036417,2,2,531.686357865258,3566.076169,-26.4812738139939,-49.1599579006445
Brasil,Blumenau,INDAIAL,239,0.5549,6.3705,72.422,12.9908,440.4936,1.11830529501034,2.55492829465727,1038.38403814718,225.451034060238,2.36975782634376,1,3,432.497460813564,4389.495064,-26.9943508583995,-49.2241052222733
Brasil,Jundiai,JUNDIA4,887,2.0582,7.217,68.1411,609.1435,3189.064,1.08342455513936,20.6958942620732,4433.38594953144,126.661651194899,2.75325968851865,3,4,433.177705996933,4629.700493,-23.1945983668551,-46.9130276850395
Peru,Lima,PUENTE PIEDRA,43,0.877,7.2642,60.7577,1204.5981,2353.1754,1.03133985299516,74.8283934346319,10895.6962687309,87.9468580549293,2.98118214716525,2,5,49.3261959876815,11031.27079,-11.8718293308249,-77.0862417582944
Brasil,Sao Jose dos Campos,JACARE2,328,0.7067,4.872,77.3433,112.7739,1375.5247,1.09500032585103,8.73670979630991,2283.30201180233,150.762167152569,2.68071833648393,1,4,466.422726061146,5715.389467,-23.2988774651508,-45.9905059127867
Chile,Los Angeles,LOS ÁNGELES,1117,0.6385,3.5622,113.226,16.4154,932.0212,1.06687695788715,2.74881663942658,815.57258094292,171.048569558631,2.73599737962659,1,6,1753.11802572806,6056.168909,-37.4072337638547,-72.3273825683002
Argentina,San Juan,Rivadavia,117,0.9731,2.8286,73.6978,81.0202,601.1337,1.04744744213032,17.3411523385556,3246.52145194874,108.363027480293,2.80327245053272,4,4,120.695554663141,5214.909439,-31.556314870649,-68.6431409371202
Peru,Huancayo,EL TAMBO,47,0.2824,4.5334,62.6677,97.6097,1202.2662,1.05225031908059,16.6690083675632,2320.95586040363,81.2608497687514,3.13452768729641,1,4,167.496466402467,11570.00326,-11.9719552541684,-75.1610888090338
Argentina,Parana,Paraná,1037,0.2024,4.6096,125.1056,31.8222,2159.3612,1.05509524878429,1.92313452301714,741.267062645656,221.356190034512,3.18651747734418,1,6,5139.52606107516,4575.1447,-31.6988520772596,-60.0445814498379
Peru,Ica,ICA,98,0.1105,4.657,87.1718,16.5821,1043.0178,1.04978944699581,3.825146300315,610.563473076996,94.5794041626381,2.98220732336255,1,6,892.253454389165,9152.162503,-14.2138566933792,-75.9066566805967
Chile,La Serena-Coquimbo,COQUIMBO,381,0.2676,3.3081,102.5382,15.0987,721.4267,1.06236636367729,4.48729766549667,828.197353772936,107.611081701372,2.88626214867349,1,2,1429.14521791372,6887.721206,-30.227467382477,-71.3584423966643
Brasil,Ipatinga,CORONEL FABRICIANO,52,0.2351,6.8028,66.0483,59.8543,998.8105,1.12364605446058,7.91773542070741,1823.77089020372,133.650305191515,2.89957163255592,1,2,222.412079518901,8037.995217,-19.4585874791023,-42.6899250451646
Chile,Santiago,CONCHALÍ,1,0.09,1.287,,1110.87,1110.87,1.01276467853034,201.687722184635,24668.4531424861,73.6219877278993,3.12752785802723,6,5,11.1409855575788,12606.51561,-33.3833966559671,-70.6765923324629
Brasil,Criciuma,CRICI0MA,344,1.4595,5.2821,72.3603,191.0825,1078.0642,1.03902295719176,25.9589503225265,5252.11084174355,115.417541409387,2.83890856618129,2,1,236.565805770312,4679.248264,-28.7154669951361,-49.3795800136645
Brasil,Blumenau,GASPAR,344,0.8897,4.368,97.1471,9.0186,237.5626,1.11355406334807,3.33750743868116,1422.87976018408,233.034062860117,2.34345908868201,1,3,388.313741260789,4015.301708,-26.9310119880278,-48.9658097656341
Brasil,Rio de Janeiro,QUEIMADOS,121,1.5988,3.1456,70.5042,179.8132,868.2557,1.04337210492935,29.1112874400901,5992.45221638085,121.079653381604,2.85328330206378,4,1,76.0529744538548,8848.502249,-22.7255663091075,-43.5850454125959
