SALID1,L1,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,URBAN_PROF,URBAN_PROB,TRANS_PROF,TRANS_PROB,LAT,LONG,SECPOV,AREA,POP,CNSMINPRM,CNSMINPRF,CNSUNEMPLM,CNSUNEMPLF,BRT,SUBWAY
102106,Alagoinhas,Brasil,175,0.2326,38.1085,1533.6659,6.2551,81.4949,1.067596732,3.359314314,818.4316728,149.7633096,2.869505963,2,9.99E-01,2,0.866469341,-12.1174318,-38.43528748,45.46,1869.4725,149558,64.27079004,66.033573,12.0649026,21.0558269,0,0
102107,Barreiras,Brasil,260,0.0331,2.0768,732.9747,3.2169,280.063,1.085298384,1.16041495,994.0831286,510.0886266,3.047327339,3,1.00E+00,1,0.999990402,-12.13333314,-44.99999991,41.63,2226.588,144794,60.20120903,64.770561,8.395740198,14.95943297,0,0
102108,Feira de Santana,Brasil,708,0.432,201.4081,4578.801,4.4531,93.0335,1.047097981,7.517040361,1534.862092,121.2278779,2.831238172,4,8.26E-01,2,0.977970994,-12.24999985,-38.95000067,41.86,7208.6436,621549,61.95491082,65.50898774,9.535622563,20.27279837,1,0
102109,Ilheus,Brasil,430,0.2443,3.8649,348.4354,3.9096,86.7972,1.118139348,1.097470942,337.0145484,174.6157609,2.742387821,3,7.13E-01,1,0.948840747,-14.793497,-39.045358,45.39,1952.286,194112,57.76803565,60.69338202,11.92526989,20.49479583,0,0
102110,Itabuna,Brasil,110,0.2545,55.7243,1339.5556,4.7658,67.8251,1.055755309,6.999016594,1203.926503,99.26751107,3.006845408,2,1.00E+00,2,0.983313555,-14.80000013,-39.26666634,41.7,1798.291,215639,62.42714292,64.94043981,10.45791237,19.83998487,0,0
102111,Jequie,Brasil,154,0.0477,8.2023,1264.2954,5.0879,102.8406,1.060975803,1.261941053,272.1876293,128.2555172,3.040343915,3,9.61E-01,1,0.993320927,-13.86086001,-40.0767746,51.72,2093.938,160038,54.09918867,56.18665668,8.560864547,17.95901868,0,0
102112,Porto Seguro,Brasil,339,0.1408,1.2599,187.679,3.6828,95.9284,1.105493258,1.315095481,393.111586,174.8839196,2.867616034,3,9.35E-01,1,0.989950578,-16.43333232,-39.08333205,47.2,1616.6571,133733,54.97839342,58.93562729,8.533823539,16.20442334,0,0
102113,Salvador,Brasil,1763,1.0151,786.1392,6011.8456,9.5936,65.6682,1.087546068,17.40945448,3353.949894,112.5206481,2.639571839,4,9.44E-01,3,1,-12.99300301,-38.48100264,34.73,22710.966,3371671,74.68865813,74.62227445,9.998141586,17.93157741,1,0
102114,Teixeira de Freitas,Brasil,138,0.1186,31.6808,1714.549,5.1395,80.0008,1.038678708,3.610326465,621.5585379,98.93655326,3.241956809,2,9.26E-01,2,0.823208538,-17.51279411,-39.70826834,40.4,2150.5506,145757,54.60889967,57.4242852,8.767727055,16.60837247,0,0
102115,Vitoria da Conquista,Brasil,531,0.1582,34.7664,2516.4511,5.1058,105.3565,1.064909018,2.935606109,883.2995346,180.918326,3.066958058,2,9.94E-01,4,0.40444802,-14.84680876,-40.84855655,42.47,4637.5947,323316,53.123845,54.66282622,8.644565102,15.09420264,0,0
102116,Fortaleza,Brasil,3333,0.8341,2279.6747,21125.7486,8.7745,73.6171,1.042391166,13.90380766,2792.968721,116.3872171,3.008514501,1,1.00E+00,3,0.999928056,-3.782997054,-38.58900257,40.79,43121.3541,3459235,65.20538067,66.57594883,7.445572082,10.72412266,1,1
102117,Juazeiro do Norte,Brasil,555,0.2782,45.6112,1712.6787,5.5711,86.9034,1.042227799,4.93622002,1075.658537,123.1100569,3.071953782,2,9.99E-01,2,0.990735817,-7.199999683,-39.33333203,53.19,5313.237,432617,53.66030127,58.00772772,9.371907197,16.16972062,0,0
102118,Sobral,Brasil,215,0.1013,5.2266,643.2036,3.5904,156.6426,1.052398956,1.92740011,443.9718647,134.4101852,3.084368869,3,1.00E+00,1,0.96759623,-3.699999885,-40.34999839,53.06,1725.031,190848,54.64396917,56.1405156,10.34473463,12.82702878,0,0
102119,Brasilia,Brasil,4278,0.4045,207.9672,4181.7305,6.092,76.5099,1.064441562,7.559230807,1621.602697,129.2061033,2.837079966,1,1.00E+00,2,0.981650358,-15.79211094,-47.89774766,21.72,52597.5822,3235485,73.90453552,75.13380251,6.703292435,11.73214527,1,1
102120,Cachoeiro de Itapemirim,Brasil,342,0.3895,6.3932,279.761,3.7972,106.2941,1.130459805,3.587085613,1075.402594,179.9344598,2.741348372,2,8.85E-01,4,0.999585156,-20.85000031,-41.09999843,25.11,2006.7192,199737,60.85233145,61.28901852,7.225277996,12.53358309,0,0
102121,Guarapari,Brasil,362,0.609,13.4887,346.3544,3.7671,82.3095,1.117941797,6.503741363,1989.55937,176.1891865,2.819716549,2,9.99E-01,4,0.950997495,-20.66666592,-40.49999989,29.5,2314.809,110746,62.20807116,63.19891652,8.121834267,12.70976878,0,0
