L1,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,LAT,LONG,SECPOV,AREA,POP,CNSMINPRM,CNSMINPRF,CNSUNEMPLM,CNSUNEMPLF,BRT,SUBWAY,URBAN_PROF,TRANS_PROF
Patos de Minas,Brasil,257,0.0806,18.07,2072.8309,4.6544,129.8159,1.077091816,1.6305482180000002,418.715354,151.21362209999998,3.133521226,-18.58333385,-46.53333268,17.99,2780.3802,142514.0,60.08932579,63.32135165,4.970722382,10.44261492,0,0,2,2
Pocos de Caldas,Brasil,202,0.3691,68.1259,1295.6627,4.5413,84.6601,1.102412782,6.611737817000001,1571.4810929999999,140.8190103,2.961455071,-21.7999991,-46.56666547,14.41,2877.389,156615.0,66.89576552,65.42728242,5.117130933,8.797029205,0,0,1,1
Pouso Alegre,Brasil,230,0.4234,32.7662,834.5407,4.5156,101.2835,1.085916363,7.72434518,1937.0168820000001,145.4101234,2.989328955,-22.21666713,-45.93333434,15.92,2132.721,134197.0,67.37430871,68.19895681,4.258930009,9.388661119,0,0,1,1
Sete Lagoas,Brasil,339,0.6305,298.3082,3379.9196,5.1835,68.7799,1.0713219040000002,10.89812342,2629.8124629999998,142.85943269999999,3.126352093,-19.45000071,-44.23333353,22.67,4745.5932,220025.0,65.17699089999999,65.69315733,6.614553637999999,13.17136715,0,0,3,3
Teofilo Otoni,Brasil,157,0.0484,3.3345,846.6199,6.6748,157.0174,1.177166485,0.701517453,260.8266069,221.26320130000002,2.763819095,-17.85240045,-41.50020028,42.53,1277.2735,138440.0,54.60064567,55.76687868,8.235361012,14.99886135,0,0,2,4
Uberaba,Brasil,503,0.1112,48.1966,3716.9136,4.9368,95.5535,1.077274754,2.129255297,642.1910091,178.1943629,3.204318937,-19.74999993,-47.91666782,15.22,5865.7345,304105.0,68.95888315,68.69576368,4.187948254,8.341085541,1,0,1,2
Uberlandia,Brasil,947,0.2301,229.0911,7725.0759,6.7641,83.6303,1.0410483179999999,3.96901493,929.8516534,137.0884746,3.239946845,-18.91666586,-48.29999908,14.52,12203.6102,620577.0,70.30717923,71.13239857,4.139924989,8.412925739,1,0,3,1
Varginha,Brasil,126,0.3186,85.6083,1602.8911,5.3731,88.3969,1.091213795,9.402489036,2007.0078870000002,126.3215139,3.093535749,-21.54937127,-45.43381735,17.51,2111.9364,126456.0,68.64879888,67.21390550000001,5.464508327999999,10.73436193,0,0,1,1
Belem,Brasil,1561,0.6154,1288.6249,14156.1376,8.5301,65.7175,1.039016669,9.115940605,1807.061679,114.75400020000001,2.847982683,-1.4390009519999998,-48.49800256,38.74,23088.2827,2117767.0,73.14610927,74.7555054,8.557769155,14.99571655,1,0,3,1
Castanhal,Brasil,240,0.2332,49.9745,1913.9415,5.593,94.5386,1.026835886,4.008427274,889.8535304,130.74406090000002,3.18496732,-1.299999948,-47.91666782,50.34,2687.592,174457.0,57.77995001,62.76743187,7.5813386110000005,16.41423351,0,0,1,1
Maraba,Brasil,427,0.0282,1.8049,741.5077,3.338,187.195,1.095224734,0.334309521,99.16137059,167.5062985,3.030536913,-5.349999782,-49.11666481,48.36,3682.5334,235435.0,54.56015991,58.97829205,10.79303559,17.90858837,0,0,2,2
Parauapebas,Brasil,453,0.0658,1.7411,565.9556,3.3855,114.7738,1.079900413,0.935504971,223.38380809999998,137.9679885,3.199515462,-6.067018074,-49.89224971,37.14,2118.3186,155071.0,65.02742762,66.60431602,8.70655772,18.46815312,0,0,2,2
Santarem,Brasil,617,0.027000000000000003,2.9056,1619.8694,3.5872,126.5603,1.096220757,0.213635816,80.37719208,212.1708117,3.169205658,-2.4599970669999998,-54.61000168,56.5,4105.3329,296806.0,57.23512739,63.85524857,14.59791565,19.73089233,0,0,2,2
Campina Grande,Brasil,391,0.2986,123.8369,2963.3813,4.4242,87.0952,1.036026986,6.705395085,1234.025999,112.44559029999999,2.9987949389999997,-7.216666551,-35.88333503,45.19,5471.5367,471572.0,57.79009464,60.32557368,11.24852642,20.10424748,0,0,1,1
Joao Pessoa,Brasil,862,0.6818,835.5892,7038.8941,7.2717,69.3678,1.037643112,17.03139803,3179.551484,111.88763259999999,3.0769034339999997,-7.115,-34.863056,38.89,15007.6786,1049093.0,64.80429182,66.44698341,8.620268516,14.26679505,1,0,3,3
Apucarana,Brasil,183,0.3278,39.5551,1047.665,6.2312,94.5349,1.070970338,5.576265814,1751.1089,179.15773049999999,3.092031425,-23.54768832,-51.48157463,13.68,2108.0685,124212.0,61.96611692,58.87173627,3.763116475,5.699460299999999,0,0,1,1
Arapongas,Brasil,226,0.2686,57.6457,1392.2374,5.8411,79.491,1.051731131,6.228621992000001,1621.401981,151.72537309999998,3.080647883,-23.3833331,-51.45000073,13.6,3484.2646,166424.0,61.82473331,58.61861016,3.807590462,7.589340426000001,0,0,1,1
Cascavel,Brasil,404,0.1923,125.1745,4259.5967,6.4167,82.8786,1.050405808,3.319077847,922.2002964,154.3231506,3.229431183,-24.95000075,-53.46666711,14.81,6174.1704,293999.0,67.8907998,65.894257,4.008181358,7.660586321,0,0,1,1
Curitiba,Brasil,3689,0.7725,2880.8929,24567.9173,7.9119,66.4869,1.0731343309999999,10.36938393,2712.265097,146.6533487,2.905966885,-25.43000402,-49.28499866,13.16,55997.5444,2935284.0,72.76578986,69.76823521,4.185727161,7.133344561,1,1,4,3
Foz do Iguacu,Brasil,364,0.5893,368.7032,3732.6985,4.648,65.14,1.037176719,10.40236502,2332.708637,127.4489999,3.123741206,-25.54999908,-54.58333195,25.5,6101.6228,263062.0,66.32380676,64.19716575,5.70221708,10.88626556,0,0,3,3
Guarapuava,Brasil,338,0.1084,29.2851,2424.5961,5.3065,91.5854,1.104548795,1.511671287,458.207675,182.41628,3.1702529260000003,-25.38333313,-51.45000073,29.16,3764.8806,171885.0,56.25440178,54.33094836,6.472566876,11.56043184,0,0,1,2
Londrina,Brasil,752,0.3075,162.8731,3470.9291,6.837999999999999,86.984,1.061958011,7.049338561,1690.0644539999998,142.92126580000001,3.063036947,-23.29999907,-51.15000141,14.69,11476.8736,669378.0,67.89892723,65.54365537,4.2752721760000005,7.589695863999999,1,0,1,1
Maringa,Brasil,476,0.3846,434.2391,5493.0762,8.6832,74.2262,1.031078873,11.51749862,2704.963065,133.3497206,3.2051819389999996,-23.41666589,-51.91666779,10.97,9782.99,521648.0,67.58642612,66.26267132,3.63009339,6.498979384,0,0,3,3
Paranagua,Brasil,192,0.2323,57.1053,1763.193,5.1447,75.786,1.045174523,3.055925135,696.2941808999999,128.1722418,2.907479046,-25.51666629,-48.49999992,25.85,2677.0559999999996,144294.0,68.86903829999999,65.35847053,6.954418985,14.96807761,0,0,1,1
Ponta Grossa,Brasil,511,0.2471,155.201,4438.4421,7.8273,76.131,1.078175227,4.25533074,1183.499662,155.72416289999998,3.130900436,-25.08333391,-50.15000139,22.56,7229.8835,320097.0,67.85817882,63.01129708,5.287201446,11.20522912,0,0,3,1
Toledo,Brasil,402,0.3358,27.3963,1198.7773,4.8396,98.7568,1.082693352,4.964013533,2025.710652,230.2123681,2.999152423,-24.73333346,-53.74999988,14.24,2735.8914,122562.0,63.77537514,60.03289868,4.19935017,9.056998963,0,0,1,4
Caruaru,Brasil,331,0.3595,91.2846,2245.1979,4.5402,124.3789,1.0450792979999999,8.94703773,1609.9787789999998,105.99077120000001,3.0144431369999998,-8.283333725,-35.96666707,40.8,3743.0142,321686.0,53.77398134,56.56920977,6.967718577,10.84328658,0,0,1,1
Garanhuns,Brasil,143,0.3118,31.6504,1035.4713,4.9731,121.3185,1.052142701,8.229846561,1707.815346,122.17352199999999,3.162971985,-8.899999451000001,-36.48333347,52.72,1401.6574,132192.0,53.81231847,55.67970991,15.16278689,20.47007026,0,0,1,1
Petrolina,Brasil,531,0.048,8.5237,1673.3403,4.9338,258.5153,1.068019918,1.174796625,306.903435,156.4877308,3.062977768,-9.399999512,-40.49999989,48.85,5635.3437,508862.0,56.04353301,61.51948817,9.640389366,18.00472378,0,0,2,2
Recife,Brasil,2129,1.1299,3724.0240000000003,19975.8195,9.5262,63.1107,1.05000431,21.04552626,3731.510871,104.01087690000001,2.84800134,-8.084996967999999,-34.9149956,41.0,35128.7129,3588741.0,69.48018964,68.03124052,10.93887709,18.28786785,1,1,4,3
Vitoria de Santo Antao,Brasil,65,0.1744,20.5579,763.9393,3.6114,186.9476,1.089177311,7.815027182000001,1570.621806,117.9056233,2.903244496,-8.116666724,-35.29999906,57.09,1002.872,132770.0,44.50537670000001,48.42883428,11.72893314,22.16413272,0,0,2,1
Parnaiba,Brasil,179,0.41100000000000003,63.9845,1278.2731,4.0576,75.007,1.029393513,9.441598177000001,1910.173597,114.45512930000001,3.223127753,-2.909166491,-41.77472298,52.52,2179.8978,146854.0,53.27190588,56.98941012,9.521603766,17.08255154,0,0,1,1
Teresina,Brasil,1194,0.3808,300.3263,6754.9542,7.5915,70.9725,1.033934379,7.210392253999999,1478.448287,118.72428719999999,3.225562985,-5.104998015,-42.80200157,41.91,13941.2634,976798.0,63.84667865,67.38992026,8.185444491,14.16092158,1,1,3,1
Angra dos Reis,Brasil,358,0.4338,5.1418,203.4503,3.3453,76.9478,1.15011147,3.921811325,904.5994092,128.90498459999998,2.467317487,-22.99999985,-44.29999911,25.32,2085.4932,170402.0,63.95292525,64.29523916,6.349571765,12.79204622,0,0,1,4
