COUNTRY,L1,BECTUAREA,BECNURBPTCH,BECPTCHDENS,BECAWMNSHPINDX,BECAWMNNNGH,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECTPOP,BECPOPDENS,BECPRSBRT,BECPRSSUBWAY,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,LAT,LONG,POP,AREA,DENSPOP,BRT,SUBWAY,PM2.5,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,URBAN_PROF,TRANS_PROF
Argentina,San Miguel de Tucuman-Tafi Viejo,12940.0117,203,1.0284,5.2178,61.5767,5353.6666,8166.8568,853822.7139,6598.31062,0,0,1.02226931,7.568053888,1427.2169199999998,106.7007162,3.2025012360000003,-26.82900979,-65.21054418,853822.7139,12940.0117,6598.31062,0,0,10.81574303,,,,,,,,,,,3,4
Argentina,Rawson-Trelew,2322.9888,66,1.745,4.4164,60.5354,892.7181,1453.5419,108416.7171,4667.1194049999995,0,0,1.012983055,10.49204711,1540.025622,85.30690542,3.364550417,-43.24999986,-65.30000304,108416.7171,2322.9888,4667.1194049999995,0,0,6.668508287000001,,,,,,,,,,,1,2
Argentina,Rio Gallegos,1831.8608,28,1.0979,2.9863,60.8981,1246.9654,1735.9738,83341.85652,4549.575651,0,0,1.010181165,8.724290371,1308.091981,86.63480913,3.413687436,-51.62143498,-69.22905093,83341.85652,1831.8608,4549.575651,0,0,2.344670156,,,,,,,,,,,1,2
Brasil,Rio Branco,5139.984,240,2.786,6.632000000000001,60.5603,1914.9996,3209.5381,297016.8706,5778.54958,0,0,1.0339202840000001,8.438482197999999,1429.549946,99.45485563,2.8789363189999997,-9.979001961,-67.8120027,297016.8706,5139.984,5778.54958,0,0,8.013318687,,,,,,,,,,,2,1
Brasil,Arapiraca,2238.031,53,1.3864,5.0921,60.8472,815.7988,1393.4881,180224.4737,8052.8175980000005,0,0,1.0215786629999999,12.21952889,1855.214287,90.22599521,3.082761882,-9.749999858999999,-36.65000142,180224.4737,2238.031,8052.8175980000005,0,0,2.287162162,,,,,,,,,,,1,3
Brasil,Maceio,7030.35,255,2.0428,10.7039,61.507,3044.4088,5405.6135,931878.4653,13255.07927,0,0,1.047085918,11.90552872,1702.465381,84.39501774,2.803694995,-9.676890027999999,-35.74772063,931878.4653,7030.35,13255.07927,0,0,4.04008222,,,,,,,,,,,3,1
Brasil,Macapa,4277.8803,73,1.0745,6.8541,60.4116,2625.9538,4170.4668,348486.124,8146.234209,0,0,1.021769339,6.4464421320000005,1366.875492,116.5034592,3.139888862,0.036000079,-51.04799967,348486.124,4277.8803,8146.234209,0,0,9.953429724,,,,,,,,,,,2,4
Brasil,Manaus,22616.752,464,1.4714,6.4529,60.3504,14970.8512,20873.5357,1761732.871,7789.5118840000005,0,0,1.048737103,9.029711368,1511.319273,97.73306274,2.8613243930000003,-3.12200104,-60.01499668,1761732.871,22616.752,7789.5118840000005,0,0,6.960677966,,,,,,,,,,,3,1
Brasil,Alagoinhas,1832.3128,58,2.0045,4.8142,60.5053,1037.232,1637.9492,136331.4292,7440.41288,0,0,1.04059832,9.027107607,1440.16775,96.9521572,2.90757329,-12.117431800000002,-38.43528748,136331.4292,1832.3128,7440.41288,0,0,3.404186795,,,,,,,,,,,1,1
Brasil,Barreiras,1743.8396,34,1.1652,3.5591,60.358000000000004,551.3886,922.6426,112118.1349,6429.381993,0,0,1.0140841790000001,14.12848136,2022.0469649999998,85.35755461,3.2371884630000003,-12.13333314,-44.99999991,112118.1349,1743.8396,6429.381993,0,0,3.8145705519999997,,,,,,,,,,,1,3
Brasil,Feira de Santana,6088.677,105,1.1605,5.3939,61.5631,3823.5387,5682.0118,515867.7255,8472.570828,1,0,1.031922961,12.95411169,1900.13292,87.66134077,2.908840025,-12.24999985,-38.95000067,515867.7255,6088.677,8472.570828,1,0,3.6314623339999996,,,,,,,,,,,2,3
Brasil,Ilheus,1220.2174,67,2.4883,4.7317,61.0026,245.8957,542.6101,118859.5623,9740.830533,0,0,1.073629695,6.768470874,1298.9780660000001,110.1529882,2.77834525,-14.793497,-39.045358,118859.5623,1220.2174,9740.830533,0,0,3.394594595,,,,,,,,,,,1,5
Brasil,Itabuna,1701.0882,42,1.4452,5.0565,60.5046,839.0306,1433.3791,202318.2412,11893.44721,0,0,1.036707723,11.83796928,1714.6756050000001,84.31082719,3.0507955939999998,-14.80000013,-39.26666634,202318.2412,1701.0882,11893.44721,0,0,4.615598886,,,,,,,,,,,1,1
Brasil,Jequie,1916.37,45,1.2967,5.3660000000000005,63.2271,758.1355,1372.8901,146205.4818,7629.292973999999,0,0,1.027707312,12.89123183,1802.008613,83.56723692,3.0920078930000003,-13.86086001,-40.07677460000001,146205.4818,1916.37,7629.292973999999,0,0,2.916141002,,,,,,,,,,,1,3
