L1,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,URBAN_PROF,URBAN_PROB,TRANS_PROF,TRANS_PROB,LAT,LONG
San Luis,Argentina,492,0.0377,4.1419,1268.2123,4.0074,113.7211,1.058576643,0.49026722,187.6104355,214.5583335,3.155421859,3,0.9950,1,0.9998,-33.31600203,-66.34799971
Villa Mercedes,Argentina,428,0.0311,2.7521,1201.533,3.7158,184.1967,1.079125775,0.312261242,193.5914376,349.163114,3.336302411,3,1.0000,1,1.0000,-33.66666782,-65.46666711
San Miguel de Tucuman-Tafi Viejo,Argentina,1070,0.3431,343.7809,6709.2011,4.7919,72.923,1.055563227,5.194513014,1309.421865,141.7444165,3.129585153,4,1.0000,2,0.9934,-26.82900979,-65.21054418
Rawson-Trelew,Argentina,295,0.0721,7.7218,1129.2471,3.3843,93.4898,1.051202224,1.447981103,433.6734672,169.8148929,3.248937844,3,0.9817,1,0.9988,-43.24999986,-65.30000304
Rio Gallegos,Argentina,338,0.0101,0.8081,1181.4987,2.4029,154.0664,1.089062168,0.161448016,118.0390819,392.3333945,3.252606392,3,1.0000,1,1.0000,-51.62143498,-69.22905093
Rio Branco,Brasil,567,0.0642,17.987,2820.9598,6.9273,70.2329,1.073065815,0.856446044,232.469971,157.2686844,2.828190517,2,0.9778,1,0.9960,-9.979001961,-67.8120027
Arapiraca,Brasil,306,0.8589,93.266,1206.2572,4.3067,87.4488,1.040865373,16.52424677,3519.23646,127.3261039,2.984157824,2,0.9991,3,1.0000,-9.749999859,-36.65000142
Maceio,Brasil,549,0.4637,363.1514,4712.1847,7.2551,83.1626,1.069978284,14.12384614,2627.799604,109.204967,2.763489079,4,1.0000,3,0.9999,-9.676890028,-35.74772063
Macapa,Brasil,402,0.0503,22.2946,2797.8453,5.4139,73.9335,1.051489268,0.722084911,208.7373042,159.0697829,3.045467667,2,0.9877,1,0.9986,0.036000079,-51.04799967
Manaus,Brasil,1172,0.1028,408.2956,19842.0013,6.9808,64.349,1.072019092,2.158135497,427.5606271,115.0307556,2.840770283,4,0.8577,1,0.9383,-3.12200104,-60.01499668
Alagoinhas,Brasil,175,0.2326,38.1085,1533.6659,6.2551,81.4949,1.067596732,3.359314314,818.4316728,149.7633096,2.869505963,2,0.9993,2,0.8665,-12.1174318,-38.43528748
Barreiras,Brasil,260,0.0331,2.0768,732.9747,3.2169,280.063,1.085298384,1.16041495,994.0831286,510.0886266,3.047327339,3,1.0000,1,1.0000,-12.13333314,-44.99999991
Feira de Santana,Brasil,708,0.432,201.4081,4578.801,4.4531,93.0335,1.047097981,7.517040361,1534.862092,121.2278779,2.831238172,4,0.8256,2,0.9780,-12.24999985,-38.95000067
Ilheus,Brasil,430,0.2443,3.8649,348.4354,3.9096,86.7972,1.118139348,1.097470942,337.0145484,174.6157609,2.742387821,3,0.7133,1,0.9488,-14.793497,-39.045358
Itabuna,Brasil,110,0.2545,55.7243,1339.5556,4.7658,67.8251,1.055755309,6.999016594,1203.926503,99.26751107,3.006845408,2,0.9997,2,0.9833,-14.80000013,-39.26666634
Jequie,Brasil,154,0.0477,8.2023,1264.2954,5.0879,102.8406,1.060975803,1.261941053,272.1876293,128.2555172,3.040343915,3,0.9608,1,0.9933,-13.86086001,-40.0767746
Porto Seguro,Brasil,339,0.1408,1.2599,187.679,3.6828,95.9284,1.105493258,1.315095481,393.111586,174.8839196,2.867616034,3,0.9346,1,0.9900,-16.43333232,-39.08333205
Salvador,Brasil,1763,1.0151,786.1392,6011.8456,9.5936,65.6682,1.087546068,17.40945448,3353.949894,112.5206481,2.639571839,4,0.9440,3,1.0000,-12.99300301,-38.48100264
Teixeira de Freitas,Brasil,138,0.1186,31.6808,1714.549,5.1395,80.0008,1.038678708,3.610326465,621.5585379,98.93655326,3.241956809,2,0.9262,2,0.8232,-17.51279411,-39.70826834
Vitoria da Conquista,Brasil,531,0.1582,34.7664,2516.4511,5.1058,105.3565,1.064909018,2.935606109,883.2995346,180.918326,3.066958058,2,0.9945,4,0.4044,-14.84680876,-40.84855655
Fortaleza,Brasil,3333,0.8341,2279.6747,21125.7486,8.7745,73.6171,1.042391166,13.90380766,2792.968721,116.3872171,3.008514501,1,1.0000,3,0.9999,-3.782997054,-38.58900257
Juazeiro do Norte,Brasil,555,0.2782,45.6112,1712.6787,5.5711,86.9034,1.042227799,4.93622002,1075.658537,123.1100569,3.071953782,2,0.9995,2,0.9907,-7.199999683,-39.33333203
Sobral,Brasil,215,0.1013,5.2266,643.2036,3.5904,156.6426,1.052398956,1.92740011,443.9718647,134.4101852,3.084368869,3,1.0000,1,0.9676,-3.699999885,-40.34999839
Brasilia,Brasil,4278,0.4045,207.9672,4181.7305,6.092,76.5099,1.064441562,7.559230807,1621.602697,129.2061033,2.837079966,1,1.0000,2,0.9817,-15.79211094,-47.89774766
Cachoeiro de Itapemirim,Brasil,342,0.3895,6.3932,279.761,3.7972,106.2941,1.130459805,3.587085613,1075.402594,179.9344598,2.741348372,2,0.8851,4,0.9996,-20.85000031,-41.09999843
Guarapari,Brasil,362,0.609,13.4887,346.3544,3.7671,82.3095,1.117941797,6.503741363,1989.55937,176.1891865,2.819716549,2,0.9994,4,0.9510,-20.66666592,-40.49999989
Linhares,Brasil,267,0.0762,4.8797,698.2393,2.7302,121.5421,1.090185483,1.06712574,462.8420599,242.6886962,3.02379349,3,0.9995,1,0.9990,-19.41666592,-40.06666551
Vitoria,Brasil,1015,0.7038,672.1077,4391.156,7.6841,65.0453,1.071350779,21.86044271,3970.798584,106.3240932,2.944382918,4,0.9993,3,1.0000,-20.319444,-40.337778
Anapolis,Brasil,403,0.2642,193.1277,4104.0279,6.9747,74.3991,1.04259536,7.10782798,1503.0597,126.6881864,3.116976962,4,0.5887,2,0.9923,-16.33333394,-48.96666708
Goiania,Brasil,1997,0.5712,2020.1479,17582.2905,9.6799,68.099,1.041138059,18.77453939,3593.372986,115.1568338,3.201858844,1,1.0000,3,1.0000,-16.678611,-49.253889
Rio Verde,Brasil,365,0.0436,7.2584,1792.3725,4.6431,175.1468,1.094562175,0.695138842,269.6548946,220.0502747,3.317531737,3,1.0000,1,0.9998,-17.7166671,-50.93333432
Caxias,Brasil,277,0.0538,5.106,1214.8182,5.0495,104.1936,1.061907133,0.52267265,160.0176909,192.785193,3.056254136,3,0.9522,1,0.9997,-4.833333377,-43.34999844
Imperatriz,Brasil,366,0.1335,35.7462,2220.8435,4.9413,143.4364,1.044298472,2.23955208,488.4423631,122.995063,3.029562094,3,0.9608,1,0.9036,-5.533333232,-47.48333345
Sao Luis,Brasil,1371,0.9708,1245.4506,9225.0787,9.1956,63.0288,1.037210685,17.93151992,3203.192621,105.5341315,2.94263386,4,0.9404,3,1.0000,-2.514996058,-44.30099657
Cuiaba,Brasil,957,0.2106,390.0853,10507.435,10.4679,71.3419,1.058099055,5.244552318,1099.139392,123.4609798,3.056854311,4,0.9967,2,0.9918,-15.61500007,-56.09300368
Rondonopolis,Brasil,399,0.0959,41.6246,3235.6232,4.7081,95.0924,1.03658977,1.848597889,436.5684634,135.8330818,3.328672194,2,0.9993,1,0.9859,-16.4666671,-54.63333497
Campo Grande,Brasil,762,0.0941,315.2868,13635.7246,8.2625,79.5389,1.041482807,3.132194883,669.5441458,124.5307754,3.254802009,4,1.0000,2,0.8056,-20.45099705,-54.61599566
Dourados,Brasil,447,0.1094,36.8447,3176.3712,5.0918,95.3594,1.034780099,1.533381707,393.3265958,138.229875,3.393827525,2,0.9990,1,0.9947,-22.21666713,-54.79999914
Araguari,Brasil,249,0.0912,17.7223,1897.651,4.4487,109.7824,1.078489421,1.381473845,386.6394357,161.2335839,3.227261584,3,0.9455,1,0.9987,-18.63333309,-48.18333425
